n,plus,multi,square,compare
380,1.8e-05,1.9e-05,2.8e-05,1.9e-05
381,1.9e-05,1.8e-05,2.5e-05,1.9e-05
382,1.8e-05,1.9e-05,2.3e-05,1.9e-05
383,1.8e-05,1.9e-05,2.3e-05,1.9e-05
384,1.8e-05,1.8e-05,2.3e-05,1.9e-05
385,1.9e-05,1.8e-05,2.3e-05,1.9e-05
386,1.8e-05,1.8e-05,2.2e-05,1.8e-05
387,1.9e-05,1.9e-05,2.2e-05,1.9e-05
388,1.9e-05,1.8e-05,2.3e-05,1.9e-05
389,1.8e-05,1.8e-05,2.3e-05,1.9e-05
390,1.8e-05,1.9e-05,2.3e-05,1.9e-05
391,1.9e-05,1.8e-05,2.3e-05,1.9e-05
392,2.7e-05,2.3e-05,2.2e-05,1.9e-05
393,2e-05,2.1e-05,2.2e-05,1.8e-05
394,1.9e-05,1.8e-05,2.3e-05,1.9e-05
395,1.8e-05,1.8e-05,2.2e-05,1.9e-05
396,2.2e-05,1.8e-05,2.2e-05,1.9e-05
397,1.8e-05,1.9e-05,2.2e-05,1.9e-05
398,1.9e-05,1.9e-05,2.2e-05,1.9e-05
399,1.9e-05,1.9e-05,2.2e-05,1.9e-05
400,1.8e-05,1.8e-05,2.3e-05,1.9e-05
401,1.9e-05,1.8e-05,2.3e-05,1.9e-05
402,1.9e-05,1.8e-05,2.3e-05,2.4e-05
403,1.9e-05,1.8e-05,2.2e-05,1.9e-05
404,1.9e-05,1.9e-05,2.3e-05,2e-05
405,1.8e-05,1.9e-05,2.3e-05,1.9e-05
406,1.8e-05,1.9e-05,2.3e-05,1.9e-05
407,1.9e-05,1.9e-05,2.3e-05,1.9e-05
408,1.9e-05,1.9e-05,2.3e-05,1.9e-05
409,1.9e-05,1.9e-05,2.2e-05,2e-05
410,1.9e-05,1.9e-05,2.3e-05,2e-05
411,1.9e-05,1.9e-05,2.3e-05,1.9e-05
412,1.9e-05,1.9e-05,2.3e-05,2e-05
