n,plus,multi,minus
337,1.8e-05,1.8e-05,1.8e-05
338,1.8e-05,1.8e-05,1.8e-05
339,1.8e-05,1.8e-05,1.8e-05
340,2.3e-05,1.8e-05,1.8e-05
341,1.9e-05,1.8e-05,1.8e-05
342,1.8e-05,1.7e-05,1.9e-05
343,1.9e-05,1.8e-05,1.7e-05
344,1.9e-05,1.8e-05,1.8e-05
345,1.8e-05,1.8e-05,1.8e-05
346,1.8e-05,1.8e-05,1.8e-05
347,1.9e-05,1.8e-05,1.8e-05
348,1.8e-05,1.8e-05,1.8e-05
349,1.8e-05,1.8e-05,1.8e-05
350,1.8e-05,1.8e-05,1.9e-05
351,1.9e-05,1.8e-05,1.8e-05
352,1.9e-05,1.8e-05,1.8e-05
353,1.8e-05,1.8e-05,1.9e-05
354,1.8e-05,1.8e-05,1.8e-05
355,1.8e-05,2.6e-05,1.8e-05
356,1.8e-05,1.9e-05,1.9e-05
357,1.8e-05,1.8e-05,1.8e-05
358,1.8e-05,1.8e-05,1.8e-05
359,1.9e-05,1.8e-05,1.9e-05
360,1.8e-05,1.8e-05,1.8e-05
361,1.8e-05,1.8e-05,1.8e-05
362,1.8e-05,1.8e-05,1.9e-05
363,1.8e-05,1.8e-05,1.8e-05
364,1.9e-05,1.8e-05,1.9e-05
365,1.8e-05,1.8e-05,1.8e-05
366,1.8e-05,1.8e-05,2.4e-05
367,1.8e-05,1.8e-05,1.9e-05
368,1.9e-05,1.8e-05,1.9e-05
369,2.1e-05,1.8e-05,1.8e-05
370,1.9e-05,1.8e-05,1.8e-05
371,1.8e-05,1.8e-05,1.9e-05
372,1.8e-05,1.8e-05,1.8e-05
373,1.9e-05,1.8e-05,1.8e-05
374,1.8e-05,1.9e-05,1.9e-05
375,1.8e-05,1.8e-05,1.8e-05
376,1.8e-05,1.9e-05,1.9e-05
377,1.9e-05,1.9e-05,1.8e-05
378,1.8e-05,1.9e-05,1.9e-05
379,1.9e-05,1.8e-05,1.9e-05
380,1.9e-05,1.8e-05,1.8e-05
381,1.9e-05,1.9e-05,1.9e-05
382,1.8e-05,1.8e-05,1.9e-05
383,2.2e-05,1.8e-05,1.9e-05
384,1.8e-05,1.9e-05,1.9e-05
385,1.9e-05,1.9e-05,1.9e-05
386,1.8e-05,1.9e-05,1.9e-05
